USAF,WBAN,STATION_NAME,COUNTRY,STATE/ICAO,LAT,LON,ELEV(M),BEGIN,END,CITY,
718920,99999,VANCOUVERINTL,CA,CYVR,49.194,-123.184,4.3,19550702,20220512,Vancouver,
718960,99999,PRINCEGEORGE,CA,CYXS,53.889,-122.679,691,19550702,20220512,PrinceGeorge,
711230,99999,EDMONTONINTL,CA,CYEG,53.31,-113.58,723.3,19601114,20220512,Edmonton,
718770,99999,CALGARYINTL,CA,CYYC,51.114,-114.02,1084.2,19550702,20220512,Calgary,
718660,99999,SASKATOONJGDIEFENBAKERINT,CA,CYXE,52.167,-106.7,503.8,19550702,20220512,Saskatoon,
718520,99999,WINNIPEGINTL,CA,CYWG,49.91,-97.24,238.7,19550702,20220512,Winnipeg,
719360,99999,YELLOWKNIFE,CA,CYZF,62.463,-114.44,205.7,19420701,20220512,Yellowknife,
717490,99999,THUNDERBAYA,CA,CYQT,48.367,-89.333,199,19550702,20220512,ThunderBay,
712650,99999,TORONTOCITYCENTRE,CA,CYTZ,43.617,-79.383,76.5,19790507,20220512,Toronto,
716270,94792,MONTREAL/TRUDEAUINT,CA,QCCYUL,45.467,-73.733,36,19550101,20220512,Montreal,
717270,99999,BAGOTVILLE,CA,CYBG,48.331,-70.996,159.1,19500102,20220512,Chicoutimi,
713950,99999,HALIFAXINTL,CA,CYHZ,44.881,-63.509,145.4,19600701,20220512,Halifax,
718010,99999,STJOHNSINTL,CA,CYYT,47.619,-52.752,140.5,19410929,20220512,St.John's,
725090,14739,GENELLOGANINTERNATIONALA,US,MAKBOS,42.361,-71.01,3.3,19431121,20220514,Boston,
744860,94789,JOHNFKENNEDYINTERNATIONAL,US,NYKJFK,40.639,-73.764,2.7,19730101,20220513,NewYork,
724030,93738,WASHINGTONDULLESINTERNATION,US,VAKIAD,38.935,-77.447,89.5,19730101,20220513,Washington,
723060,13722,RALEIGH-DURHAMINTERNATIONAL,US,NCKRDU,35.892,-78.782,120.5,19451101,20220514,Raleigh,
722190,13874,HARTSFIELD-JACKSONATLANTAIN,US,GAKATL,33.63,-84.442,308.3,19730101,20220513,Atlanta,
722020,12839,MIAMIINTERNATIONALAIRPORT,US,FLKMIA,25.788,-80.317,1.4,19730101,20220513,Miami,
722310,12916,LOUISARMSTRONGNEWORLEANSI,US,LAKMSY,29.998,-90.278,-1,19451001,20220513,NewOrleans,
722590,3927,DALLAS/FTWORTHINTERNATIONAL,US,TXKDFW,32.897,-97.022,165.7,19730101,20220513,Dallas,
723270,13897,NASHVILLEINTERNATIONALAIRPO,US,TNKBNA,36.111,-86.688,179,19510101,20220513,Nashville,
725240,14820,CLEVELAND-HOPKINSINTERNATION,US,OHKCLE,41.406,-81.852,236.8,19730101,20220513,Cleveland,
725340,14819,CHICAGOMIDWAYINTLARPT,US,ILKMDW,41.784,-87.755,185.8,19730101,20220513,Chicago,
726580,14922,MINNEAPOLIS-STPAULINTERNATI,US,MNKMSP,44.885,-93.231,254.5,19450101,20220513,Minneapolis,
727640,24011,BISMARCKMUNICIPALAIRPORT,US,NDKBIS,46.782,-100.758,503.2,19360701,20220513,Bismarck,
724460,3947,KANSASCITYINTERNATIONALAIR,US,MOKMCI,39.297,-94.731,307.4,19730101,20220513,KansasCity,
724660,93037,CITYOFCOLORADOSPRINGSMUNI,US,COKCOS,38.809,-104.689,1884.2,19420901,20220513,C.Springs,
727720,24144,HELENAREGIONALAIRPORT,US,MTKHLN,46.604,-111.989,1178.1,19730101,20220513,Helena,
723650,23050,ALBUQUERQUEINTLSUNPORTAIRP,US,NMKABQ,35.042,-106.615,1618.4,19410701,20220513,Albuquerque,
722780,23183,PHOENIXSKYHARBORINTLAIRPO,US,AZKPHX,33.428,-112.004,339.2,19730101,20220513,Phoenix,
722950,23174,LOSANGELESINTERNATIONALAIR,US,CAKLAX,33.938,-118.387,29.7,19440101,20220513,LosAngeles,
724940,23234,SANFRANCISCOINTERNATIONALA,US,CAKSFO,37.62,-122.366,3.2,19730101,20220513,SanFrancisco,
725720,24127,SALTLAKECITYINTERNATIONAL,US,UTKSLC,40.771,-111.965,1288.4,19411101,20220513,SLC,
724880,23185,RENO/TAHOEINTERNATIONALAIRP,US,NVKRNO,39.508,-119.768,1342.5,19430105,20220513,Reno,
726810,24131,BOISEAIRTERMINAL/GOWENFDA,US,IDKBOI,43.567,-116.241,860.5,19310101,20220513,Boise,
726980,24229,PORTLANDINTERNATIONALAIRPOR,US,ORKPDX,45.596,-122.609,6.7,19360501,20220513,Portland,
702730,26451,TEDSTEVENSANCHORAGEINTL,US,AKPANC,61.169,-150.028,38,19730101,20220513,Anchorage,
702000,26617,NOMEAIRPORT,US,AKPAOM,64.511,-165.44,5.4,19400101,20220513,Nome,
911820,22521,HONOLULUINTERNATIONALAIRPOR,US,HIPHNL,21.324,-157.939,1.9,19390601,20220513,Honolulu,
761600,99999,GENERALIGNACIOPGARCIAINTL,MX,MMHO,29.096,-111.048,191.1,19490402,20220512,Hermosillo,
763940,99999,DELNORTEINTL,MX,MMAN,25.866,-100.237,449.9,19730101,20220512,Monterrey,
767503,99999,CABOSANLUCAS,MX,MMSL,22.948,-109.939,210,19940628,20220512,CaboSanLucas,
766133,99999,DONMIGUELHIDALGOYCOSTILLA,MX,MMGL,20.522,-103.311,1528.9,19900501,20220512,Guadalajara,
766793,99999,LICENCIADOBENITOJUAREZINTL,MX,MMMX,19.436,-99.072,2229.9,19850719,20220512,MexicoCity,
766440,99999,LICENCIADOMANUELCRESCENCIO,MX,MMMD,20.937,-89.658,11.6,19730101,20220512,Merida,
787200,99999,TONCONTININTL,HO,MHTG,14.061,-87.217,1004,19510101,20220512,Tegucigalpa,
787920,99999,TOCUMENINTL,PM,MPTO,9.071,-79.383,41.1,19730101,20220512,PanamaCity,
782240,99999,JOSEMARTIINTL,CU,MUHA,22.989,-82.409,64,19390101,20220512,Havana,
783970,99999,NORMANMANLEYINTL,JM,MKJP,17.936,-76.788,3,19411222,20220512,Kingston,
780160,13601,NAVALATLANTICMETEROLOGY&O,BD,TXKF,32.367,-64.683,5.5,19411201,20220513,Bermuda,
810020,10502,GEORGETOWN,GY,SYCJ,6.499,-58.254,29,19730101,20220512,Georgetown,
804150,99999,SIMONBOLIVARINTL,VE,SVMI,10.603,-66.991,71.6,19730101,20220512,Caracas,
802220,99999,ELDORADOINTL,CO,SKBO,4.702,-74.147,2548.4,19410301,20220512,Bogota,
801120,99999,JOSEMARIACORDOVA,CO,SKRG,6.165,-75.423,2142.1,19851201,20220512,Medellin,
842030,99999,SIMONBOLIVARINTL,EC,SEGU,-2.157,-79.884,5.8,19770701,20220512,Guayaquil,
846280,99999,JORGECHAVEZINTL,PE,SPJC,-12.022,-77.114,34.4,19601106,20220512,Lima,
852010,99999,ELALTOINTL,BL,SLLP,-16.513,-68.192,4061.5,19360401,20220512,LaPaz,
862180,99999,SILVIOPETTIROSSIINTL,PA,SGAS,-25.24,-57.519,89,19490101,20220512,Asuncion,
854420,99999,CERROMORENOINTL,CI,SCFA,-23.444,-70.445,138.7,19350101,20220512,Antofagasta,
855740,99999,ARTUROMERINOBENITEZINTL,CI,SCEL,-33.393,-70.786,474,19730101,20220512,Santiago,
857660,99999,PICHOY,CI,SCVD,-39.65,-73.086,18,19730101,20220512,Valdivia,
